"Offer ID","Created On","Offer Name","Categories","Cities","Merchant Name","Type","UPCs","IIDs","Price","Sales","Qty Sold","Qty Avl","Status"
"4915","2017-05-19 00:00:00","1800 Flowers eGift Cards","Housewarming;
$20 Gift Cards;
Teacher;
Anniversary;
Valentine's Day;
Congratulations;
$50 Gift Cards;
Sister;
Thank You;
Men;
Graduation;
$15 Gift Cards;
Christmas;
Occasions;
Birthday;
Retirement;
$25 Gift Cards;
Couples;
Wedding;
Mother's Day;
Easter;
$100 Gift Cards;
Wife;
Featured;
Women;
eGift Cards","Bakers Plus","1800 flowers.com","Gift Card Offer","07675014630
07675014630","69767
93045","Variable (15-500);
Fixed
25;50;75;100;200","10614.82","147","Unlimited","LIVE"
"4971","2017-05-19 00:00:00","Applebee's Gift Card","$20 Gift Cards;
Sister;
Birthday;
Women;
Housewarming;
$50 Gift Cards;
Friend;
Husband;
Occasions;
Congratulations;
At Home;
$15 Gift Cards;
Brother;
Valentine's Day;
Men;
Independence Day;
Graduation;
$25 Gift Cards;
Wife;
Christmas;
Retirement;
$100 Gift Cards;
Thank You;
Couples;
Anniversary;
Easter;
Food Delivery and Pick Up;
Restaurants","Bakers Plus","Applebee's ®","Physical Gift Card Offer","07675005060","78619","Variable (15-500);
Fixed
25;50;75;100;200","23803.85","697","Unlimited","LIVE"
"4970","2017-05-19 00:00:00","Eddie Papas eGift","Restaurants;
Graduation;
$15 Gift Cards;
Christmas;
Congratulations;
$25 Gift Cards;
Friend;
$100 Gift Cards;
$10 Gift Cards;
Birthday;
Housewarming;
$20 Gift Cards;
Wife;
Easter;
$50 Gift Cards;
Thank You;
eGift Cards","Bakers Plus","Eddie Papa's","Gift Card Offer","07675016440","71929","Variable (5-250);","0","0","Unlimited","LIVE"
"4969","2017-05-19 00:00:00","Ocharleys eGift Cards","Retirement;
$25 Gift Cards;
Friend;
Christmas;
Back to School;
$100 Gift Cards;
$10 Gift Cards;
Teacher;
Birthday;
Housewarming;
$20 Gift Cards;
Wife;
Mother's Day;
Physical Gift Cards;
Congratulations;
$50 Gift Cards;
Thank You;
Husband;
Anniversary;
Easter;
Graduation;
$15 Gift Cards;
Couples;
Father's Day;
Specialty;
Restaurants","Bakers Plus","O'Charley's Restaurant and Bar","Physical Gift Card Offer","07675010132","40772","Variable (5-100);
Fixed
25;50;75;100","8116.50","259","Unlimited","LIVE"
"4969","2017-05-19 00:00:00","Ocharleys eGift Cards","Retirement;
$25 Gift Cards;
Friend;
Christmas;
Back to School;
$100 Gift Cards;
$10 Gift Cards;
Teacher;
Birthday;
Housewarming;
$20 Gift Cards;
Wife;
Mother's Day;
Physical Gift Cards;
Congratulations;
$50 Gift Cards;
Thank You;
Husband;
Anniversary;
Easter;
Graduation;
$15 Gift Cards;
Couples;
Father's Day;
Specialty;
Restaurants","Bakers Plus","O'Charley's Restaurant and Bar","Physical Gift Card Offer","07675010132","40772","Variable (5-100);
Fixed
25;50;75;100","8116.50","259","Unlimited","LIVE"
"4968","2017-05-19 00:00:00","Food Dance eGift","$100 Gift Cards;
$10 Gift Cards;
Housewarming;
$20 Gift Cards;
Christmas;
Easter;
$50 Gift Cards;
Thank You;
Graduation;
$15 Gift Cards;
Restaurants;
Congratulations;
$25 Gift Cards;
Friend;
eGift Cards","Bakers Plus","Food Dance","Gift Card Offer","07675018737","74392","Variable (5-250);
Fixed
25;50;75;100;200","0","0","Unlimited","LIVE"
"4967","2017-05-19 00:00:00","O'Charley's eGift","Anniversary;
Graduation;
$15 Gift Cards;
Couples;
Valentine's Day;
Retirement;
$25 Gift Cards;
Friend;
Mother's Day;
Occasions;
Easter;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Birthday;
Housewarming;
$20 Gift Cards;
Wife;
Father's Day;
Restaurants;
Congratulations;
$50 Gift Cards;
Thank You;
Christmas;
eGift Cards","Bakers Plus","O'Charley's Restaurant and Bar","Gift Card Offer","07675010057","40421","Variable (5-100);
Fixed
25;50;75;100","18368.66","551","Unlimited","LIVE"
"4966","2017-05-19 00:00:00","Applebee's® eGift Card","Men;
Easter;
Food Delivery and Pick Up;
$20 Gift Cards;
Wife;
Christmas;
Restaurants;
Housewarming;
$50 Gift Cards;
Thank You;
Couples;
Anniversary;
Congratulations;
At Home;
$15 Gift Cards;
Sister;
Birthday;
Women;
Independence Day;
Graduation;
$25 Gift Cards;
Friend;
Husband;
Occasions;
Retirement;
$100 Gift Cards;
$10 Gift Cards;
Brother;
Valentine's Day;
eGift Cards","Bakers Plus","Applebee's ®","Gift Card Offer","07675006360
07675006360","78169
93692","Variable (5-200);
Fixed
25;50;75;100;30;150","50519.48","1330","Unlimited","LIVE"
"4966","2017-05-19 00:00:00","Applebee's® eGift Card","Men;
Easter;
Food Delivery and Pick Up;
$20 Gift Cards;
Wife;
Christmas;
Restaurants;
Housewarming;
$50 Gift Cards;
Thank You;
Couples;
Anniversary;
Congratulations;
At Home;
$15 Gift Cards;
Sister;
Birthday;
Women;
Independence Day;
Graduation;
$25 Gift Cards;
Friend;
Husband;
Occasions;
Retirement;
$100 Gift Cards;
$10 Gift Cards;
Brother;
Valentine's Day;
eGift Cards","Bakers Plus","Applebee's ®","Gift Card Offer","07675006360
07675006360","78169
93692","Variable (5-200);
Fixed
25;50;75;100;30;150","50519.48","1330","Unlimited","LIVE"
"4965","2017-05-19 00:00:00","Gap eGift Cards","$25 Gift Cards;
Sister;
Clothing;
$100 Gift Cards;
$10 Gift Cards;
Thanksgiving;
Women;
$20 Gift Cards;
Brother;
Birthday;
$50 Gift Cards;
Wife;
Black Friday;
Shopping;
Back to School;
$15 Gift Cards;
Husband;
Men;
eGift Cards","Bakers Plus","Gap","Gift Card Offer","07675012038","68635","Variable (10-250);
Fixed
25;50;75;100;200","6349.34","90","Unlimited","LIVE"
